iter	Passed	Remaining
0	58	58665
1	59	29461
2	59	19753
3	59	14903
4	60	11988
5	60	10040
6	60	8647
7	61	7602
8	61	6794
9	62	6143
10	62	5615
11	62	5172
12	63	4796
13	63	4473
14	63	4185
15	64	3936
16	64	3719
17	64	3530
18	65	3358
19	65	3199
20	65	3056
21	65	2926
22	66	2805
23	66	2696
24	66	2597
25	66	2506
26	67	2422
27	67	2343
28	67	2268
29	68	2199
30	68	2133
31	68	2073
32	68	2015
33	69	1963
34	69	1913
35	69	1865
36	69	1819
37	70	1776
38	70	1735
39	70	1697
40	71	1661
41	71	1625
42	71	1593
43	71	1561
44	72	1531
45	72	1503
46	72	1476
47	73	1450
48	73	1424
49	73	1399
50	73	1375
51	74	1352
52	74	1330
53	74	1309
54	75	1291
55	75	1276
56	76	1259
57	76	1241
58	76	1224
59	77	1208
60	77	1193
61	77	1178
62	78	1163
63	78	1148
64	78	1133
65	79	1118
66	79	1105
67	79	1092
68	80	1080
69	80	1067
70	80	1054
71	80	1042
72	81	1030
73	81	1018
74	81	1007
75	81	996
76	82	985
77	82	974
78	82	964
79	82	954
80	83	944
81	83	935
82	83	924
83	83	915
84	84	906
85	84	897
86	84	889
87	85	881
88	85	873
89	85	865
90	85	858
91	86	851
92	86	844
93	86	837
94	87	830
95	87	823
96	87	816
97	87	809
98	88	802
99	88	796
100	88	789
101	89	783
102	89	777
103	89	771
104	89	765
105	90	759
106	90	755
107	90	750
108	91	745
109	91	741
110	91	736
111	92	732
112	92	727
113	93	722
114	93	718
115	93	714
116	93	709
117	94	705
118	94	701
119	95	697
120	95	692
121	95	688
122	95	684
123	96	680
124	96	676
125	96	672
126	97	667
127	97	663
128	97	659
129	97	655
130	98	650
131	98	646
132	98	643
133	98	639
134	99	635
135	99	631
136	99	628
137	100	624
138	100	621
139	100	617
140	100	614
141	101	610
142	101	607
143	101	604
144	102	601
145	102	599
146	102	596
147	103	594
148	103	591
149	103	588
150	104	585
151	104	582
152	104	579
153	104	576
154	105	574
155	105	572
156	106	570
157	106	567
158	106	565
159	107	563
160	107	560
161	107	558
162	108	555
163	108	553
164	109	551
165	109	549
166	109	546
167	109	543
168	110	541
169	110	538
170	110	536
171	110	533
172	111	531
173	111	528
174	111	526
175	111	524
176	112	521
177	112	519
178	112	517
179	112	514
180	113	512
181	113	510
182	113	507
183	113	505
184	114	503
185	114	501
186	114	498
187	115	496
188	115	494
189	115	493
190	115	491
191	116	489
192	116	488
193	117	486
194	117	485
195	117	483
196	118	482
197	118	480
198	118	478
199	119	476
200	119	475
201	119	473
202	120	471
203	120	469
204	120	468
205	121	467
206	121	465
207	121	463
208	122	461
209	122	460
210	122	458
211	122	456
212	123	454
213	123	453
214	123	451
215	124	450
216	124	448
217	124	446
218	124	445
219	125	443
220	125	441
221	125	439
222	125	438
223	126	436
224	126	435
225	126	433
226	126	432
227	127	430
228	127	429
229	127	427
230	128	426
231	128	424
232	128	423
233	128	421
234	129	419
235	129	418
236	129	417
237	129	415
238	130	414
239	130	412
240	130	411
241	130	409
242	131	408
243	131	407
244	131	405
245	131	404
246	132	403
247	132	401
248	132	400
249	133	399
250	133	398
251	133	397
252	134	396
253	134	394
254	134	393
255	135	392
256	135	391
257	135	390
258	136	389
259	136	388
260	136	387
261	137	386
262	137	385
263	137	384
264	138	382
265	138	381
266	138	380
267	138	379
268	139	378
269	139	377
270	139	375
271	140	374
272	140	373
273	140	372
274	140	371
275	141	370
276	141	369
277	141	368
278	142	367
279	142	365
280	142	364
281	142	363
282	143	362
283	143	361
284	143	360
285	144	359
286	144	358
287	144	357
288	144	356
289	145	355
290	145	354
291	145	353
292	146	352
293	146	351
294	146	350
295	147	350
296	147	349
297	147	348
298	148	347
299	148	346
300	148	345
301	148	344
302	149	343
303	149	342
304	149	341
305	149	340
306	150	339
307	150	338
308	150	337
309	151	336
310	151	335
311	151	334
312	151	333
313	152	332
314	152	331
315	152	330
316	153	330
317	153	329
318	153	328
319	154	327
320	154	326
321	154	325
322	154	324
323	155	323
324	155	323
325	155	322
326	156	321
327	156	321
328	157	320
329	157	319
330	157	318
331	157	317
332	158	317
333	158	316
334	158	315
335	159	314
336	159	313
337	159	313
338	160	312
339	160	311
340	160	310
341	161	310
342	161	309
343	161	308
344	162	308
345	162	307
346	162	306
347	163	305
348	163	304
349	163	303
350	163	302
351	164	301
352	164	301
353	164	300
354	164	299
355	165	298
356	165	297
357	165	297
358	165	296
359	166	295
360	166	294
361	166	293
362	166	293
363	167	292
364	167	291
365	167	290
366	168	290
367	168	289
368	168	288
369	169	287
370	169	287
371	169	286
372	169	285
373	170	284
374	170	284
375	170	283
376	170	282
377	171	281
378	171	280
379	171	280
380	171	279
381	172	278
382	172	277
383	172	277
384	172	276
385	173	275
386	173	274
387	173	274
388	174	273
389	174	272
390	174	272
391	175	271
392	175	270
393	175	269
394	175	269
395	176	268
396	176	267
397	176	267
398	176	266
399	177	265
400	177	265
401	177	264
402	178	263
403	178	263
404	178	262
405	178	261
406	179	260
407	179	260
408	179	259
409	179	258
410	180	258
411	180	257
412	180	256
413	180	256
414	181	255
415	181	254
416	181	253
417	181	253
418	182	252
419	182	251
420	182	251
421	183	250
422	183	250
423	183	249
424	184	249
425	184	248
426	184	247
427	184	247
428	185	246
429	185	245
430	185	245
431	185	244
432	186	243
433	186	243
434	186	242
435	187	241
436	187	241
437	187	240
438	187	239
439	187	239
440	188	238
441	188	237
442	188	237
443	188	236
444	189	236
445	189	235
446	189	234
447	190	234
448	190	233
449	190	232
450	190	232
451	190	231
452	191	230
453	191	230
454	191	229
455	191	229
456	192	228
457	192	227
458	192	227
459	192	226
460	193	225
461	193	225
462	193	224
463	194	224
464	194	223
465	194	223
466	194	222
467	195	221
468	195	221
469	195	220
470	195	220
471	196	219
472	196	218
